Time_1,Gols_1,Gols_2,Time_2,Ano
Fortaleza-CE,4,3,Atlético-MG,2003
Internacional-RS,3,0,Figueirense-SC,2003
Atlético-PR,2,1,Bahia-BA,2003
Criciúma-SC,4,3,Flamengo-RJ,2003
Cruzeiro-MG,5,1,Paraná-PR,2003
Goiás-GO,2,1,São Caetano-SP,2003
Juventude-RS,2,0,Paysandu-PA,2003
Ponte Preta-SP,1,1,Coritiba-PR,2003
Vasco-RJ,2,0,Grêmio-RS,2003
Vitória-BA,0,2,São Paulo-SP,2003
Atlético-MG,2,1,Juventude-RS,2003
Bahia-BA,0,0,Corinthians-SP,2003
Figueirense-SC,0,0,Vasco-RJ,2003
Guarani-SP,1,0,Atlético-PR,2003
Paraná-PR,4,1,Fortaleza-CE,2003
Paysandu-PA,3,0,Cruzeiro-MG,2003
Santos-SP,3,3,Goiás-GO,2003
Coritiba-PR,1,1,Vitória-BA,2003
Grêmio-RS,0,2,Criciúma-SC,2003
São Caetano-SP,2,0,Fluminense-RJ,2003
São Paulo-SP,1,2,Ponte Preta-SP,2003
Flamengo-RJ,2,1,Internacional-RS,2003
Atlético-PR,1,1,Paysandu-PA,2003
Goiás-GO,1,1,Atlético-MG,2003
Santos-SP,2,1,Vasco-RJ,2003
Corinthians-SP,1,0,Grêmio-RS,2003
Criciúma-SC,2,3,Coritiba-PR,2003
Cruzeiro-MG,5,2,Bahia-BA,2003
Flamengo-RJ,1,1,São Paulo-SP,2003
Fortaleza-CE,2,3,Ponte Preta-SP,2003
Guarani-SP,3,0,Figueirense-SC,2003
Internacional-RS,0,0,São Caetano-SP,2003
Juventude-RS,2,1,Fluminense-RJ,2003
Vitória-BA,0,3,Paraná-PR,2003
Atlético-PR,0,2,Santos-SP,2003
Goiás-GO,0,0,Ponte Preta-SP,2003
Paraná-PR,2,1,Criciúma-SC,2003
Fluminense-RJ,2,2,Cruzeiro-MG,2003
Grêmio-RS,2,0,Santos-SP,2003
São Caetano-SP,1,1,Juventude-RS,2003
São Paulo-SP,0,2,Internacional-RS,2003
Atlético-MG,1,0,Vitória-BA,2003
Bahia-BA,2,2,Criciúma-SC,2003
Coritiba-PR,1,1,Fortaleza-CE,2003
Figueirense-SC,0,1,Goiás-GO,2003
Paraná-PR,1,1,Corinthians-SP,2003
Paysandu-PA,6,1,Guarani-SP,2003
Ponte Preta-SP,1,1,Flamengo-RJ,2003
Vasco-RJ,2,1,Atlético-PR,2003
Atlético-PR,1,0,Paraná-PR,2003
Criciúma-SC,0,1,São Caetano-SP,2003
Cruzeiro-MG,1,1,São Paulo-SP,2003
Fortaleza-CE,3,1,Fluminense-RJ,2003
Goiás-GO,3,1,Vasco-RJ,2003
Juventude-RS,0,0,Ponte Preta-SP,2003
Santos-SP,3,3,Atlético-MG,2003
Vitória-BA,1,1,Paysandu-PA,2003
Corinthians-SP,0,1,Figueirense-SC,2003
Flamengo-RJ,6,0,Bahia-BA,2003
Guarani-SP,2,0,Grêmio-RS,2003
Internacional-RS,1,0,Coritiba-PR,2003
Fluminense-RJ,1,1,Criciúma-SC,2003
Paraná-PR,1,2,Santos-SP,2003
São Caetano-SP,2,0,Cruzeiro-MG,2003
São Paulo-SP,3,1,Juventude-RS,2003
Atlético-MG,2,3,Corinthians-SP,2003
Bahia-BA,1,0,Fortaleza-CE,2003
Coritiba-PR,5,0,Flamengo-RJ,2003
Figueirense-SC,1,2,Vitória-BA,2003
Grêmio-RS,1,1,Atlético-PR,2003
Paysandu-PA,2,2,Goiás-GO,2003
Ponte Preta-SP,1,4,Internacional-RS,2003
Vasco-RJ,0,0,Guarani-SP,2003
Atlético-MG,1,2,Atlético-PR,2003
Bahia-BA,1,3,Internacional-RS,2003
Coritiba-PR,1,0,Juventude-RS,2003
Figueirense-SC,1,0,Santos-SP,2003
São Paulo-SP,0,0,Criciúma-SC,2003
Vasco-RJ,1,0,Vitória-BA,2003
Fluminense-RJ,0,1,Flamengo-RJ,2003
Grêmio-RS,0,1,Goiás-GO,2003
Paraná-PR,0,0,Guarani-SP,2003
Paysandu-PA,2,2,Corinthians-SP,2003
Ponte Preta-SP,1,3,Cruzeiro-MG,2003
São Caetano-SP,3,0,Fortaleza-CE,2003
Atlético-PR,1,2,Figueirense-SC,2003
Corinthians-SP,0,0,Vasco-RJ,2003
Cruzeiro-MG,2,2,Coritiba-PR,2003
Flamengo-RJ,1,0,São Caetano-SP,2003
Fortaleza-CE,0,2,São Paulo-SP,2003
Goiás-GO,1,0,Paraná-PR,2003
Juventude-RS,1,0,Bahia-BA,2003
Santos-SP,2,0,Paysandu-PA,2003
Vitória-BA,4,1,Grêmio-RS,2003
Criciúma-SC,3,0,Ponte Preta-SP,2003
Guarani-SP,2,2,Atlético-MG,2003
Internacional-RS,0,1,Fluminense-RJ,2003
Atlético-PR,3,1,Fortaleza-CE,2003
Goiás-GO,1,0,Cruzeiro-MG,2003
Grêmio-RS,0,0,São Caetano-SP,2003
Santos-SP,2,1,Flamengo-RJ,2003
Atlético-MG,1,0,Bahia-BA,2003
Corinthians-SP,3,1,Internacional-RS,2003
Figueirense-SC,1,2,Coritiba-PR,2003
Guarani-SP,1,0,Criciúma-SC,2003
Paraná-PR,2,0,Fluminense-RJ,2003
Paysandu-PA,3,2,Ponte Preta-SP,2003
Vasco-RJ,3,2,São Paulo-SP,2003
Vitória-BA,3,0,Juventude-RS,2003
Cruzeiro-MG,4,1,Guarani-SP,2003
Fluminense-RJ,2,0,Grêmio-RS,2003
Fortaleza-CE,0,0,Santos-SP,2003
Internacional-RS,0,1,Vitória-BA,2003
São Paulo-SP,1,0,Paysandu-PA,2003
Bahia-BA,4,2,Paraná-PR,2003
Coritiba-PR,2,2,Atlético-MG,2003
Criciúma-SC,2,0,Atlético-PR,2003
Flamengo-RJ,1,0,Corinthians-SP,2003
Juventude-RS,0,2,Goiás-GO,2003
Ponte Preta-SP,1,1,Figueirense-SC,2003
São Caetano-SP,1,0,Vasco-RJ,2003
Atlético-PR,1,4,Cruzeiro-MG,2003
Corinthians-SP,2,0,Fortaleza-CE,2003
Grêmio-RS,1,1,Bahia-BA,2003
Santos-SP,5,2,Criciúma-SC,2003
Atlético-MG,2,0,Ponte Preta-SP,2003
Figueirense-SC,2,2,São Paulo-SP,2003
Goiás-GO,3,1,Internacional-RS,2003
Guarani-SP,2,0,Juventude-RS,2003
Paraná-PR,2,3,Coritiba-PR,2003
Paysandu-PA,1,0,São Caetano-SP,2003
Vasco-RJ,1,0,Fluminense-RJ,2003
Vitória-BA,1,0,Flamengo-RJ,2003
Coritiba-PR,1,0,Grêmio-RS,2003
Cruzeiro-MG,3,0,Santos-SP,2003
Fluminense-RJ,1,1,Paysandu-PA,2003
Internacional-RS,2,0,Guarani-SP,2003
Ponte Preta-SP,4,0,Paraná-PR,2003
Bahia-BA,3,0,Vasco-RJ,2003
Criciúma-SC,1,0,Corinthians-SP,2003
Flamengo-RJ,1,1,Goiás-GO,2003
Fortaleza-CE,1,0,Vitória-BA,2003
Juventude-RS,4,0,Atlético-PR,2003
São Caetano-SP,0,2,Figueirense-SC,2003
São Paulo-SP,2,2,Atlético-MG,2003
Atlético-PR,2,1,Internacional-RS,2003
Corinthians-SP,0,1,Cruzeiro-MG,2003
Goiás-GO,0,1,Fortaleza-CE,2003
Grêmio-RS,2,2,Ponte Preta-SP,2003
Guarani-SP,5,3,Flamengo-RJ,2003
Paraná-PR,4,2,São Paulo-SP,2003
Paysandu-PA,4,0,Bahia-BA,2003
Santos-SP,1,1,Juventude-RS,2003
Vitória-BA,1,1,Criciúma-SC,2003
Atlético-MG,3,1,São Caetano-SP,2003
Figueirense-SC,2,2,Fluminense-RJ,2003
Vasco-RJ,2,1,Coritiba-PR,2003
Flamengo-RJ,2,1,Atlético-PR,2003
Internacional-RS,1,0,Santos-SP,2003
São Paulo-SP,3,1,Grêmio-RS,2003
Bahia-BA,1,1,Figueirense-SC,2003
Coritiba-PR,1,0,Paysandu-PA,2003
Criciúma-SC,1,0,Goiás-GO,2003
Cruzeiro-MG,1,0,Vitória-BA,2003
Fluminense-RJ,0,1,Atlético-MG,2003
Fortaleza-CE,3,0,Guarani-SP,2003
Juventude-RS,6,1,Corinthians-SP,2003
Ponte Preta-SP,2,2,Vasco-RJ,2003
São Caetano-SP,2,0,Paraná-PR,2003
Atlético-PR,0,0,Fluminense-RJ,2003
Grêmio-RS,3,1,Figueirense-SC,2003
Paysandu-PA,0,0,Internacional-RS,2003
São Caetano-SP,1,0,Ponte Preta-SP,2003
São Paulo-SP,1,2,Santos-SP,2003
Atlético-MG,2,1,Vasco-RJ,2003
Criciúma-SC,1,3,Cruzeiro-MG,2003
Flamengo-RJ,0,3,Paraná-PR,2003
Goiás-GO,3,1,Bahia-BA,2003
Guarani-SP,2,1,Coritiba-PR,2003
Juventude-RS,2,2,Fortaleza-CE,2003
Vitória-BA,1,2,Corinthians-SP,2003
Bahia-BA,3,0,São Paulo-SP,2003
Corinthians-SP,0,3,São Caetano-SP,2003
Coritiba-PR,1,0,Goiás-GO,2003
Cruzeiro-MG,2,0,Flamengo-RJ,2003
Fortaleza-CE,2,2,Grêmio-RS,2003
Ponte Preta-SP,2,2,Atlético-PR,2003
Santos-SP,1,1,Guarani-SP,2003
Vasco-RJ,1,1,Juventude-RS,2003
Figueirense-SC,0,1,Atlético-MG,2003
Fluminense-RJ,2,0,Vitória-BA,2003
Internacional-RS,2,0,Criciúma-SC,2003
Paraná-PR,4,2,Paysandu-PA,2003
Atlético-PR,2,0,Coritiba-PR,2003
Guarani-SP,1,3,Ponte Preta-SP,2003
São Caetano-SP,2,2,Santos-SP,2003
Atlético-MG,0,1,Cruzeiro-MG,2003
Figueirense-SC,4,2,Criciúma-SC,2003
Figueirense-SC,0,0,Flamengo-RJ,2003
Flamengo-RJ,2,1,Vasco-RJ,2003
Goiás-GO,6,1,Fluminense-RJ,2003
Internacional-RS,0,1,Grêmio-RS,2003
Juventude-RS,1,1,Paraná-PR,2003
São Paulo-SP,3,0,Corinthians-SP,2003
Vitória-BA,2,1,Bahia-BA,2003
Paysandu-PA,3,0,Fortaleza-CE,2003
Coritiba-PR,3,2,Bahia-BA,2003
Flamengo-RJ,2,0,Paysandu-PA,2003
Goiás-GO,3,1,São Paulo-SP,2003
Grêmio-RS,2,2,Atlético-MG,2003
Guarani-SP,2,0,Fluminense-RJ,2003
Corinthians-SP,3,0,Ponte Preta-SP,2003
Criciúma-SC,2,1,Vasco-RJ,2003
Cruzeiro-MG,1,2,Juventude-RS,2003
Fortaleza-CE,1,1,Figueirense-SC,2003
Paraná-PR,4,0,Internacional-RS,2003
Santos-SP,3,2,Atlético-PR,2003
Vitória-BA,0,0,São Caetano-SP,2003
Atlético-PR,1,2,Vitória-BA,2003
Bahia-BA,4,7,Santos-SP,2003
Fluminense-RJ,1,0,Corinthians-SP,2003
Internacional-RS,1,0,Cruzeiro-MG,2003
Ponte Preta-SP,0,2,Goiás-GO,2003
São Caetano-SP,2,0,Coritiba-PR,2003
Atlético-MG,2,2,Paraná-PR,2003
Juventude-RS,1,2,Grêmio-RS,2003
Paysandu-PA,4,0,Criciúma-SC,2003
Paysandu-PA,3,2,Juventude-RS,2003
São Paulo-SP,3,3,Guarani-SP,2003
Vasco-RJ,1,1,Fortaleza-CE,2003
Bahia-BA,2,2,Fluminense-RJ,2003
Coritiba-PR,0,4,Santos-SP,2003
Cruzeiro-MG,1,0,Figueirense-SC,2003
Ponte Preta-SP,1,1,Vitória-BA,2003
Corinthians-SP,2,3,Atlético-PR,2003
Criciúma-SC,2,2,Fortaleza-CE,2003
Flamengo-RJ,2,1,Grêmio-RS,2003
Goiás-GO,3,0,Guarani-SP,2003
Internacional-RS,0,0,Juventude-RS,2003
Paraná-PR,3,3,Vasco-RJ,2003
Paysandu-PA,1,0,Atlético-MG,2003
São Caetano-SP,0,1,São Paulo-SP,2003
Atlético-MG,1,1,Criciúma-SC,2003
Atlético-PR,1,0,São Caetano-SP,2003
Fluminense-RJ,2,2,Ponte Preta-SP,2003
Grêmio-RS,0,2,Paraná-PR,2003
Guarani-SP,3,2,Bahia-BA,2003
Figueirense-SC,6,0,Paysandu-PA,2003
Fortaleza-CE,1,2,Cruzeiro-MG,2003
Juventude-RS,2,2,Flamengo-RJ,2003
Santos-SP,3,1,Corinthians-SP,2003
São Paulo-SP,1,0,Coritiba-PR,2003
Vasco-RJ,0,1,Internacional-RS,2003
Vitória-BA,3,4,Goiás-GO,2003
Coritiba-PR,1,0,Corinthians-SP,2003
Cruzeiro-MG,3,0,Grêmio-RS,2003
Internacional-RS,1,1,Fortaleza-CE,2003
Juventude-RS,3,1,Criciúma-SC,2003
Paraná-PR,1,1,Figueirense-SC,2003
Paysandu-PA,1,2,Vasco-RJ,2003
Santos-SP,3,1,Vitória-BA,2003
São Paulo-SP,1,0,Fluminense-RJ,2003
Bahia-BA,1,0,Ponte Preta-SP,2003
Flamengo-RJ,3,2,Atlético-MG,2003
Goiás-GO,4,1,Atlético-PR,2003
Guarani-SP,0,1,São Caetano-SP,2003
Criciúma-SC,1,2,Paraná-PR,2003
Fluminense-RJ,3,2,Coritiba-PR,2003
Grêmio-RS,2,0,Paysandu-PA,2003
Atlético-MG,1,2,Internacional-RS,2003
Atlético-PR,4,3,São Paulo-SP,2003
Corinthians-SP,2,0,Goiás-GO,2003
Figueirense-SC,2,1,Juventude-RS,2003
Fortaleza-CE,4,1,Flamengo-RJ,2003
Ponte Preta-SP,3,4,Santos-SP,2003
São Caetano-SP,4,1,Bahia-BA,2003
Vasco-RJ,0,1,Cruzeiro-MG,2003
Vitória-BA,0,0,Guarani-SP,2003
Atlético-MG,2,0,Fortaleza-CE,2003
Coritiba-PR,1,1,Ponte Preta-SP,2003
Figueirense-SC,3,2,Internacional-RS,2003
Flamengo-RJ,1,0,Criciúma-SC,2003
Grêmio-RS,4,3,Vasco-RJ,2003
Bahia-BA,0,2,Atlético-PR,2003
Guarani-SP,0,1,Corinthians-SP,2003
Paraná-PR,1,3,Cruzeiro-MG,2003
Santos-SP,3,1,Fluminense-RJ,2003
São Caetano-SP,1,0,Goiás-GO,2003
São Paulo-SP,3,1,Vitória-BA,2003
Atlético-PR,3,1,Guarani-SP,2003
Fluminense-RJ,2,1,São Caetano-SP,2003
Internacional-RS,3,1,Flamengo-RJ,2003
Juventude-RS,1,0,Atlético-MG,2003
Vasco-RJ,1,0,Figueirense-SC,2003
Corinthians-SP,1,2,Bahia-BA,2003
Criciúma-SC,0,2,Grêmio-RS,2003
Cruzeiro-MG,2,1,Paysandu-PA,2003
Fortaleza-CE,5,3,Paraná-PR,2003
Goiás-GO,3,0,Santos-SP,2003
Ponte Preta-SP,1,2,São Paulo-SP,2003
Vitória-BA,1,0,Coritiba-PR,2003
Atlético-PR,2,2,Vasco-RJ,2003
Corinthians-SP,1,1,Paraná-PR,2003
Goiás-GO,0,3,Figueirense-SC,2003
Vitória-BA,0,1,Atlético-MG,2003
Criciúma-SC,3,2,Bahia-BA,2003
Cruzeiro-MG,5,2,Fluminense-RJ,2003
Flamengo-RJ,1,1,Ponte Preta-SP,2003
Fortaleza-CE,2,2,Coritiba-PR,2003
Guarani-SP,2,1,Paysandu-PA,2003
Internacional-RS,1,1,São Paulo-SP,2003
Juventude-RS,2,1,São Caetano-SP,2003
Santos-SP,2,2,Grêmio-RS,2003
Atlético-MG,3,2,Goiás-GO,2003
Coritiba-PR,2,0,Criciúma-SC,2003
Figueirense-SC,2,0,Guarani-SP,2003
Paraná-PR,2,0,Vitória-BA,2003
São Caetano-SP,5,0,Internacional-RS,2003
Bahia-BA,0,7,Cruzeiro-MG,2003
Fluminense-RJ,1,0,Juventude-RS,2003
Grêmio-RS,3,0,Corinthians-SP,2003
Paysandu-PA,2,2,Atlético-PR,2003
Ponte Preta-SP,2,0,Fortaleza-CE,2003
São Paulo-SP,1,3,Flamengo-RJ,2003
Vasco-RJ,1,1,Santos-SP,2003
Botafogo-RJ,1,4,Goiás-GO,2004
Cruzeiro-MG,2,1,Juventude-RS,2004
Figueirense-SC,1,0,Internacional-RS,2004
Grêmio-RS,0,0,Flamengo-RJ,2004
Palmeiras-SP,0,0,Atlético-MG,2004
Paraná-PR,3,2,Santos-SP,2004
Ponte Preta-SP,3,2,Corinthians-SP,2004
São Caetano-SP,1,0,Vitória-BA,2004
Coritiba-PR,1,0,Guarani-SP,2004
Paysandu-PA,3,3,Fluminense-RJ,2004
São Paulo-SP,1,0,Atlético-PR,2004
Vasco-RJ,0,1,Criciúma-SC,2004
Flamengo-RJ,0,0,Ponte Preta-SP,2004
